# null, year, acm, acn, star, stard, pl, px, rb, part, debasat, debcoll, deb, null, null
# Bin     YDate                 ACM          ACN          Star         StarD        PL           PX           RB           Part         DebASAT      DebColl      Deb          Err          Total
275  1957.75086     0    0    0    0    0    0    0    0    0    0    0    0    0
276  1957.75359     0    0    0    0    0    0    0    0    0    0    0    0    0
277  1957.75633     0    0    0    0    0    0    0    0    0    0    0    0    0
278  1957.75907     0    1    0    0    0    0    1    0    0    0    0    0    2
279  1957.76181     0    1    0    0    0    0    1    0    0    0    0    0    2
280  1957.76454     0    1    0    0    0    0    1    0    0    0    0    0    2
281  1957.76728     0    1    0    0    0    0    1    0    0    0    0    0    2
282  1957.77002     0    1    0    0    0    0    1    0    0    0    0    0    2
283  1957.77276     0    1    0    0    0    0    1    0    0    0    0    0    2
284  1957.7755 0    1    0    0    0    0    1    0    0    0    0    0    2
285  1957.77823     0    1    0    0    0    0    1    0    0    0    0    0    2
286  1957.78097     0    1    0    0    0    0    1    0    0    0    0    0    2
287  1957.78371     0    1    0    0    0    0    1    0    0    0    0    0    2
288  1957.78645     0    1    0    0    0    0    1    0    0    0    0    0    2
289  1957.78919     0    1    0    0    0    0    1    0    0    0    0    0    2
290  1957.79192     0    1    0    0    0    0    1    0    0    0    0    0    2
291  1957.79466     0    1    0    0    0    0    1    0    0    0    0    0    2
292  1957.7974 0    1    0    0    0    0    1    0    0    0    0    0    2
293  1957.80014     0    1    0    0    0    0    1    0    0    0    0    0    2
294  1957.80287     0    1    0    0    0    0    1    0    0    0    0    0    2
295  1957.80561     0    1    0    0    0    0    1    0    0    0    0    0    2
296  1957.80835     0    1    0    0    0    0    1    0    0    0    0    0    2
297  1957.81109     0    1    0    0    0    0    1    0    0    0    0    0    2
298  1957.81383     0    1    0    0    0    0    1    0    0    0    0    0    2
299  1957.81656     0    1    0    0    0    0    1    0    0    0    0    0    2
300  1957.8193 0    1    0    0    0    0    1    0    0    0    0    0    2
301  1957.82204     0    0.5  0    0    0.5  0    1    0    0    0    0    0    2
302  1957.82478     0    0    0    0    1    0    1    0    0    0    0    0    2
303  1957.82752     0    0    0    0    1    0    1    0    0    0    0    0    2
304  1957.83025     0    0    0    0    1    0    1    0    0    0    0    0    2
305  1957.83299     0    0    0    0    1    0    1    0    0    0    0    0    2
306  1957.83573     0    0    0    0    1    0    1    0    0    0    0    0    2
307  1957.83847     0    0    0    0    1    0    1    0    0    0    0    0    2
308  1957.8412 0    1    0    0    1    0    1    0    0    0    0    0    3
309  1957.84394     0    1    0    0    1    0    1    0    0    0    0    0    3
310  1957.84668     0    1    0    0    1    0    1    0    0    0    0    0    3
311  1957.84942     0    1    0    0    1    0    1    0    0    0    0    0    3
312  1957.85216     0    1    0    0    1    0    1    0    0    0    0    0    3
313  1957.85489     0    1    0    0    1    0    1    0    0    0    0    0    3
314  1957.85763     0    0.5  0    0    1.5  0    1    0    0    0    0    0    3
315  1957.86037     0    0    0    0    2    0    1    0    0    0    0    0    3
316  1957.86311     0    0    0    0    2    0    1    0    0    0    0    0    3
317  1957.86585     0    0    0    0    2    0    1    0    0    0    0    0    3
318  1957.86858     0    0    0    0    2    0    1    0    0    0    0    0    3
319  1957.87132     0    0    0    0    2    0    1    0    0    0    0    0    3
320  1957.87406     0    0    0    0    2    0    1    0    0    0    0    0    3
321  1957.8768 0    0    0    0    2    0    1    0    0    0    0    0    3
322  1957.87953     0    0    0    0    2    0    1    0    0    0    0    0    3
323  1957.88227     0    0    0    0    2    0    1    0    0    0    0    0    3
324  1957.88501     0    0    0    0    2    0    1    0    0    0    0    0    3
325  1957.88775     0    0    0    0    2    0    1    0    0    0    0    0    3
326  1957.89049     0    0    0    0    2    0    1    0    0    0    0    0    3
327  1957.89322     0    0    0    0    2    0    1    0    0    0    0    0    3
328  1957.89596     0    0    0    0    2    0    1    0    0    0    0    0    3
329  1957.8987 0    0    0    0    2    0    1    0    0    0    0    0    3
330  1957.90144     0    0    0    0    2    0    1    0    0    0    0    0    3
331  1957.90418     0    0    0    0    2    0    1    0    0    0    0    0    3
332  1957.90691     0    0    0    0    2    0    1    0    0    0    0    0    3
333  1957.90965     0    0    0    0    2    0    1    0    0    0    0    0    3
334  1957.91239     0    0    0    0    2    0    1    0    0    0    0    0    3
335  1957.91513     0    0    0    0    2    0    1    0    0    0    0    0    3
336  1957.91786     0    0    0    0    2    0    0    0    0    0    0    0    2
337  1957.9206 0    0    0    0    2    0    0    0    0    0    0    0    2
338  1957.92334     0    0    0    0    2    0    0    0    0    0    0    0    2
339  1957.92608     0    0    0    0    2    0    0    0    0    0    0    0    2
340  1957.92882     0    0    0    0    2    0    0    0    0    0    0    0    2
341  1957.93155     0    0    0    0    2    0    0    0    0    0    0    0    2
342  1957.93429     0    0    0    0    2    0    0    0    0    0    0    0    2
343  1957.93703     0    0    0    0    2    0    0    0    0    0    0    0    2
344  1957.93977     0    0    0    0    2    0    0    0    0    0    0    0    2
345  1957.94251     0    0    0    0    2    0    0    0    0    0    0    0    2
346  1957.94524     0    0    0    0    2    0    0    0    0    0    0    0    2
347  1957.94798     0    0    0    0    2    0    0    0    0    0    0    0    2
348  1957.95072     0    0    0    0    2    0    0    0    0    0    0    0    2
